GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1,REF_KEY_2,REF_KEY_3,REF_KEY_4,REF_KEY_5,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN
CMMN_264,811105,워크넷 직종분류,식품기계 설치·정비원,949,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811106,워크넷 직종분류,기타 공업기계 설치·정비원,950,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811200,워크넷 직종분류,승강기 설치·정비원,951,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811201,워크넷 직종분류,엘리베이터 설치·정비원,952,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811202,워크넷 직종분류,에스컬레이터 설치·정비원(무빙워크 포함),953,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811203,워크넷 직종분류,"기타 승강기 설치·정비원(휠체어리프트, 자동문 포함)",954,09,,,,,2021-08-09 13:16:40,SYSTEM,2021-08-09 13:16:40,SYSTEM,Y,N
CMMN_264,811300,워크넷 직종분류,물품이동장비 설치·정비원,955,09,,,,,2021-08-09 13:16:41,SYSTEM,2021-08-09 13:16:41,SYSTEM,Y,N
CMMN_264,811301,워크넷 직종분류,크레인·호이스트 설치·정비원,956,09,,,,,2021-08-09 13:16:42,SYSTEM,2021-08-09 13:16:42,SYSTEM,Y,N
CMMN_264,811302,워크넷 직종분류,지게차 정비원,957,09,,,,,2021-08-09 13:16:42,SYSTEM,2021-08-09 13:16:42,SYSTEM,Y,N
CMMN_264,811400,워크넷 직종분류,냉동·냉장·공조기 설치·정비원,958,09,,,,,2021-08-09 13:16:42,SYSTEM,2021-08-09 13:16:42,SYSTEM,Y,N
CMMN_264,811401,워크넷 직종분류,산업용 냉동·냉장·공조기 설치·정비원,959,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811402,워크넷 직종분류,건물·가정용 냉동·냉장·공조기 설치·정비원,960,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811500,워크넷 직종분류,보일러 설치·정비원,961,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811501,워크넷 직종분류,산업용 보일러 설치·수리원,962,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811502,워크넷 직종분류,건물·가정용 보일러 설치·수리원,963,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811600,워크넷 직종분류,건설·광업용 기계 설치·정비원,964,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,811900,워크넷 직종분류,농업용 및 기타 기계장비 설치 및 정비원,965,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812100,워크넷 직종분류,항공기 정비원,967,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
