"GRP_CD","CMN_CD","GRP_NM","CMN_NM","ORDR","REF_KEY_1","REF_KEY_2","REF_KEY_3","REF_KEY_4","REF_KEY_5","REG_DT","REG_USR","UPD_DT","UPD_USR","USE_YN","DEL_YN"
JOBALIO_04,"03",공공일자리(크롤링) 학력,비정규직,3,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_04,"04",공공일자리(크롤링) 학력,청년인턴(체험형),4,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_04,"05",공공일자리(크롤링) 학력,청년인턴(채용형),5,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_05,"01",공공일자리(크롤링) 학력,신입,1,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_05,"02",공공일자리(크롤링) 학력,경력,2,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_05,"03",공공일자리(크롤링) 학력,신입+경력,3,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
JOBALIO_05,"04",공공일자리(크롤링) 학력,외국인 전형,4,"","","","","","2022-03-29 12:27:30",SYSTEM,"2022-03-29 12:27:30",SYSTEM,Y,N
SRCH_23,"01",채용정보 학력,학력무관,1,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_23,"02",채용정보 학력,초졸이하,2,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_23,"03",채용정보 학력,중졸,3,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_23,"04",채용정보 학력,고졸,4,,,,,,"2017-08-25 14:34:27",SYSTEM,"2017-08-25 14:34:27",SYSTEM,Y,N
SRCH_23,"05",채용정보 학력,대졸(2~3년),5,,,,,,"2017-08-25 14:34:28",SYSTEM,"2017-08-25 14:34:28",SYSTEM,Y,N
SRCH_23,"06",채용정보 학력,대졸(4년),6,,,,,,"2017-08-25 14:34:28",SYSTEM,"2017-08-25 14:34:28",SYSTEM,Y,N
SRCH_23,"07",채용정보 학력,석사,7,,,,,,"2017-08-25 14:34:28",SYSTEM,"2017-08-25 14:34:28",SYSTEM,Y,N
UNTACT_09,"00",비대면채용 학력,학력무관,1,"","","","","","2021-06-16 11:57:57","20210103105125001","2021-07-31 19:22:53","20210731154851001",Y,N
UNTACT_09,"01",비대면채용 학력,초졸이하,2,"1",,,,,"2020-11-13 09:22:07","20200428091753001","2021-07-20 17:53:58","20210103104502001",Y,N
UNTACT_09,"02",비대면채용 학력,중졸,3,"1",,,,,"2020-11-13 09:22:07","20200428091753001","2021-07-20 17:54:09","20210103104502001",Y,N
UNTACT_09,"03",비대면채용 학력,고졸,4,"1",,,,,"2020-11-13 09:22:07","20200428091753001","2021-07-20 17:54:19","20210103104502001",Y,N
UNTACT_09,"04",비대면채용 학력,대졸(2~3년),5,"1",,,,,"2020-11-13 09:22:07","20200428091753001","2021-07-20 17:54:29","20210103104502001",Y,N
UNTACT_09,"05",비대면채용 학력,대졸(4년),6,"1",,,,,"2020-12-03 15:07:27","20200428091753001","2021-07-20 17:54:45","20210103104502001",Y,N
UNTACT_09,"06",비대면채용 학력,석사,7,"1",,,,,"2020-12-03 15:07:48","20200428091753001","2021-07-20 17:54:55","20210103104502001",Y,N
UNTACT_09,"07",비대면채용 학력,박사,8,"1",,,,,"2020-12-03 15:08:02","20200428091753001","2021-07-20 17:55:05","20210103104502001",Y,N
UNTACT_09,"08",비대면채용 학력,무학,9,,,,,,"2020-12-03 15:08:17","20200428091753001","2021-06-16 12:03:35","20210103105125001",N,N
