BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
1400000041,시흥시 월곶도서관,"경기 시흥시 월곶해안로161번길 7 (월곶동, 월곶문화센터)",,4139013100,https://lib.siheung.go.kr/#/
1400000042,시흥시종합일자리센터,"경기 시흥시 새재로 32 (장현동, 맑은물사업소, 종합일자리센터)",,4139012900,https://gyeonggi.work.go.kr/siheung/main.do
1400000043,시흥시 목감도서관,경기 시흥시 솔고개길 33 (목감동),,4139012600,https://lib.siheung.go.kr/?clcode=A013#/
1400000044,벅스리움,"경기 시흥시 서해안로 275 (정왕동, 시흥시 곤충전시체험관(벅스리움))",,4139013200,
1400000045,시흥시 동물누리보호센터,경기 시흥시 뒷방울길 218 (정왕동),,4139013200,
1400000046,배곧1청소년문화의집,"경기 시흥시 배곧4로 94-41 (배곧동, 배곧1동어울림센터)",어울림센터 3층,4139013500,
1400000047,정왕청소년문화의집,"경기 시흥시 정왕대로233번길 33 (정왕동, 시흥 어울림국민체육센터)",3층,4139013200,
1400000048,시흥시꾸미청소년문화의집,"경기 시흥시 정왕대로53번길 38 (정왕동, 정왕3동주민센터)",2층,4139013200,
1400000049,오이도꿈나무안심학교,"경기 시흥시 옥터로 47 (정왕동, 오이도문화복지센터)",,4139013200,
1400000050,시흥시도시정보통합센터,"경기 시흥시 배곧4로 94-52 (배곧동, 시흥시 도시정보통합센터)",,4139013500,
1400000051,대야신천 행정복지센터,"경기 시흥시 소래산길 11 (대야동, 시흥ABC행복학습타운)",,4139010100,
1400000052,시흥시 소래빛도서관,"경기 시흥시 비둘기공원로 25 (대야동, 소래빛도서관)",,4139010100,
1400000053,월곶동 행정복지센터,"경기 시흥시 월곶중앙로30번안길 7 (월곶동, 월곶어울림센터)",,4139013100,
1400000054,과림동 행정복지센터,"경기 시흥시 금오로 383 (과림동, 과림동주민센터)",,4139011200,
1400000055,신천동 행정복지센터,"경기 시흥시 포도원로 72 (신천동, 신천동행정복지센터)",,4139010200,
1400000056,시흥시정연구원,"경기 시흥시 소래산길 11 (대야동, 시흥ABC행복학습타운)",아람관,4139010100,
1400000057,학교법인 한인학원,"경기 시흥시 금오로 103 (무지내동, 경기자동차과학고등학교)",,4139013400,http://www.ghas.hs.kr/
1400000058,학교법인 복음아성학원,"경기 시흥시 금오로 640 (과림동, 한국글로벌중학교, 한국조리과학고등학교)",,4139011200,
1400000059,경기시흥남부지역자활센터,경기 시흥시 정왕대로233번길 28-1 (정왕동),,4139013200,https://sinam.or.kr/
1400000060,시흥시청소년활동진흥센터,"경기 시흥시 신천로79번길 21 (신천동, 청소년꿈터)",1층,4139010200,
1400000061,아이누리돌봄센터 루벤시아1차점,"경기 시흥시 장곡북로 43 (장곡동, 시흥장현 루벤시아 1차)",,4139013000,
1400000062,시흥아트센터,,,,https://www.siheung.go.kr/sac/main.do
1400000063,군자동행정복지센터,"경기 시흥시 도일로102번길 11 (거모동, 군자동주민센터)",,4139012700,
1400000064,시흥행복교육지원센터,"경기 시흥시 소래산길 11 (대야동, 시흥ABC행복학습타운)",,4139010100,
1400000065,경기시흥SNU제약바이오인력양성센터,"경기 시흥시 서울대학로 173 (배곧동, 서울대학교 시흥캠퍼스)",5층,4139013500,
1400000066,시흥시청소년청년재단,"경기 시흥시 소래산길 11 (대야동, 시흥ABC행복학습타운)",,4139010100,
1400000067,아이누리 지역아동센터,"경기 시흥시 봉우재로37번길 17 (정왕동, 군서중3길 55)",,4139013200,
1400000068,해양생태과학관,"경기 시흥시 거북섬서로 35 (정왕동, 해양생태과학관)",,4139013200,
1400000069,시흥시청소년청년재단,"경기 시흥시 소래산길 11 (대야동, 시흥ABC행복학습타운)",가치관 4층,4139010100,
1400011778,시흥시여자단기청소년쉼터,"경기 시흥시 오동마을로 33 (정왕동, 금광빌딩)",4층,4139013200,http://www.shgirls.org/
1400013464,(사)시흥여성의전화,"경기 시흥시 마유로 330 (정왕동, 대하빌딩)",5층 501호~502호,4139013200,http://www.shwhl.org/default/index.php
1400021584,시흥시노동자지원센터,"경기 시흥시 중심상가로 155 (정왕동, 금성프라자)",501호,4139013200,http://www.slscenter.org/
1400031374,(사)비젼하우스,"경기 시흥시 황고개로293번길 16 (군자동, 비젼하우스)",,4139012800,http://visionhouse.kr/
1400031689,시흥시치매안심센터,"경기 시흥시 호현로 55 (대야동, 시흥시보건소대야종합사회복지관)",5층,4139010100,https://sh.nid.or.kr/intro/intro.aspx
1400045558,경기시흥아동보호전문기관,"경기 시흥시 비둘기공원7길 83 (대야동, 힐탑메디칼프라자)",2층,4139010100,http://siheung.goodneighbors.kr/
1400045877,시흥북부장애인보호작업장,경기 시흥시 포도원로109번길 10-1 (신천동),,4139010200,http://www.hb114.or.kr/hb114/
1400281630,이레엔지니어링,,,4139013300,
1400444357,티유테크,,,,
1400497140,가려산업,경기도 시흥시,,4139013200,
1400662849,다원이엔지,경기 시흥시 공단1대로260번길 105,,4139013200,
1400685032,신우테크,기술영업 및 기술지원,,,www.shinwootech.kr
1400717787,휴크리에이터,,,4139013100,
1400734689,가구클럽,"경기 시흥시 비둘기공원4길 9 (대야동, 국민은행시흥)",,4139010100,
1400842890,하모니마트시화세종점,경기 시흥시 함송로13번길 27,,4139013200,
1400934290,호식이두마리치킨경기남부,경기 안산시 상록구 동막2길 28-2,,4127111400,
1401040560,발해모션,경기 시흥시 공단1대로 13 (정왕동),삼양지식산업센터 807호,4139013200,
1401041287,우일무역(주),"경기 시흥시 신현로 465-5 (방산동, 우일산업)",,4139010300,
1401071229,하사코리아,,,,
1401077204,강호비철금속,"경기 시흥시 옥구천동로 256 (정왕동, 새론엔비테크(주))",,4139013200,
1401136417,위즈툴 바이오랩스,"경기 시흥시 경기과기대로 269 (정왕동, 경기과학기술대학)",제1동 중소기업관 H동 313호,4139013200,http://wiztulbiolabs.alltheway.kr/
1405465465,시흥시 작은도서관,,,,https://lib.siheung.go.kr/small/#/
1408023071,제이와이테크놀로지(주),"경기 군포시 고산로 166 (당정동, SK벤티움)",104동 801호,4141010200,http://jytec.koreasme.com/
1408100141,제일화학(주),경기 평택시 산단로 63-8,,4122010300,
1408100272,(주)영신공조,경기 평택시 포승읍 평택항로268번길 117-12,,4122025622,www.ysair.co.kr
1408100398,(주)휴렉스,경기 안산시 상록구 원후약수길 29 (장하동),,4127111500,www.hurecx.com
1408100476,(주)광양건설,"경기 안산시 상록구 송호1길 31, 2층",,4127110200,www.kwangyang.net
1408100777,(주)광천에스티,"경기 안산시 단원구 엠티브이5로 8, (시화엠티브이,7사807)",,4127310600,www.gcst.co.kr
1408101024,(주)에스씨엠,"경기 시흥시 공단1대로 341, 511호",,4139013200,
1408101403,(주)디케이,경기 김포시 대곶면 대명항로 222-22,,4157034026,
1408101586,(주)메코텍티타늄,"경기 시흥시 소망공원로 283, 717호",,4139013200,www.mecotec.co.kr
1408101679,(주)엠에스피시스템,"경기 시흥시 공단2대로256번길 30, 805호",,4139013200,
1408101683,(주)다인푸드,"경기 시흥시 호현로 235, 1동",,4139010700,
1408101742,(주)성신에스티,경기 시흥시 군자천로119번길 30,,4139013200,
1408101868,(주)대일금속,경기 안산시 단원구 목내로 12,,4127310600,
1408101927,(주)인익스,"경기 수원시 권선구 산업로92번길 81, 수원산업단지",,4111312800,www.in-ex.co.kr
1408101965,(주)앤로보틱스,경기 시흥시 엠티브이28로 16,,4139013200,"www.hjfm,co.kr"
1408101999,동민금속공업,,,4159025627,
1408102004,(주)에스에이티,"경기 시흥시 군자천로21번길 66, 707호",,4139013200,www.sateng.co.kr
1408102038,제이디엠(주),,,4127310400,
1408102173,(주)이피아이,경기 화성시 향남읍 동오1길 161-5,,4159025936,
1408102284,한솔칼라팩(주),"경기 화성시 마도면 청원로231번길 62-6 (청원리, 한솔칼라팩㈜)",,4159033025,
1408102440,(주)제이티,"경기 안산시 단원구 원시로 261, 반월공단",,4127310500,www.jtmold.com
1408102488,케피온(주),"경기 안양시 동안구 시민대로 383, B동 605호",,4117310200,www.yuminchem.com
1408102789,현진스테인레스(주),"경기 시흥시 오이도로 21, 3층 311호",,4139013200,
1408102853,(주)광명이엔지,경기 화성시 남양읍 장덕북길 110-59,,4159026223,www.km-eng.com
1408103129,흥광테크(주),,,4159033024,
1408103357,(주)제이피씨,경기 부천시 원미구 조마루로291번길 25,,4119210800,
1408103565,(주)유림,경기 광명시 덕안로77번길 9,,4121010600,
1408103599,일진테크(주),"경기 시흥시 마유로20번길 108, 515호 (정왕동,시화공단3바)",,4139013200,
1408103866,(주)제일이엔지,경기 화성시 팔탄면 온천로 326,,4159036028,www.jeil-eng.net
1408104171,(주)백학음료,경기 연천군 백학면 장백로 589,,4180033024,
1408104472,(주)쓰리나인,"경기 안산시 단원구 정왕천동로36번길 19, 104호",,4127310400,www.threenine.co.kr
1408104583,케이알베어링(주),"경기 시흥시 공단1대로 244, 제1동 제112, 113호",,4139013200,-
1408104642,모아테크(주),경기 안산시 단원구 지원로 107-24,,4127310400,
1408104813,(주)성원특수강,"경기 시흥시 경제로 177, 528호",,4139013200,
1408104939,(주)이엔아이씨,"경기 시흥시 옥구천서로 189 (정왕동, (주)광진산업)",,4139013200,www.ecovim.co.kr
1408104958,휴앤에스(주),"경기 안양시 동안구 흥안대로 415, 413호",,4117310300,www.hunsol.com
1408105369,엠케이프리시젼(주),경기 시흥시 은계중앙로306번길 53,,4139010100,www.mkp.kr
1408105393,(주)대덕에이엠티,경기 안산시 단원구 시화호수로 895,,4127310600,www.daeduckamt.co.kr
1408105428,(주)대신,"경기 시흥시 공단2대로140번길 35, 709호",,4139013200,
1408105864,(주)선일,"경기 안산시 단원구 번영2로안길 15, 106호",,4127310400,
1408106204,(주)오성산업기계,경기 안산시 단원구 번영로185번길 12,,4127310400,
1408106354,(주)세기,경기 부천시 오정구 오정로39번길 24-17,,4119610700,segicorp.kr
1408107071,(주)가나개발,경기 화성시 정남면 시청로 1560-42,,4159041026,
1408107391,(주)백운,경기 시흥시 봉우재로209번길 79,,4139013200,www.backwoon.com
1408107523,(주)파코엔지니어링,경기 수원시 권선구 산업로155번길 269,,4111312800,www.pacoeng.co.kr
1408107858,유진타워건설(주),경기 안산시 단원구 별망로 569-12,,4127310500,www.yoojintower.co.kr
1408107902,동원중공업(주),,,4159035021,
1408107988,그린엘리베이터(주),경기 평택시 오성면 오성산단로 36-19,,4122034025,www.greenel.co.kr
1408108027,선다코리아(주),"경기 이천시 향교로 189, 201호",,4150010800,www.sundakorea.co.kr
1408108901,석교플랜트(주),"경기 고양시 일산동구 고양대로1119번길 11, 204호",,4128510100,
1408109064,주미스틸(주),경기 화성시 송산면 송산포도로 735-8,,4159034031,
1408109201,(주)케이비아이,"경기 고양시 일산서구 송산로 499-14, 가동",,4128710500,
1408109216,(주)대일씨에프티,경기 화성시 향남읍 발안공단로3길 27,,4159025925,www.daeilcft.com
1408109405,(주)오성마이더스,,,4139010100,
1408109574,동진스틸(주),"경기 시흥시 군자천로 35, 402-1호",,4139013200,
1408109647,동진비철(주),경기 시흥시 군자천로185번길 17,,4139013200,
1408109685,경기종합철강(주),"경기 시흥시 정왕천로 89, 417-2",,4139013200,
1408109730,(주)명전와이어,"경기 시흥시 경기과기대로 27, 706호 (정왕동,시화공단3바)",,4139013200,www.mjwire.net
1408109782,동아퓨얼셀(주),경기 안산시 단원구 산단로163번길 40,,4127310500,
1408109948,케이지모빌리티시흥서비스센터(주),,,4139013200,
1408109991,(주)여주전자,"경기 광명시 하안로 108, 에이스광명타워 309호, 310호, 204호",,4121010400,
1408110222,(주)이노맥스,경기 화성시 마도면 송정로210번길 26-19,,4159033023,www.inno-max.co.kr
1408110367,(주)제이메탈,경기 시흥시 시흥대로 1028,,4139010600,jmadhesives.com
1408110483,(주)케이엠씨,경기 안산시 단원구 산단로19번길 169,,4127310600,
1408110504,(주)제이에스철강,경기 안산시 단원구 해안로 113,,4127310600,
1408110576,(주)신성씨앤피,"경기 시흥시 마유로92번길 6, . 3마 116호",,4139013200,www.sscera.kr
1408110692,(주)하이텍환경,경기 안산시 단원구 엠티브이10로10번길 5,,4127310400,www.hyenv.co.kr
1408110751,메이저스틸(주),"경기 시흥시 새재로17번길 6, 403호",,4139012900,
1408111202,(주)에스엔피,"경기 안산시 단원구 엠티브이12로21번길 6, 시화엠티브이단지4 사동 102호",,4127310400,
1408111352,(주)제이씨헬스케어,"경기 안산시 단원구 원포공원1로 19, 401호",,4127310700,jchealthcare.co.kr
1408111430,두리산업(주),"경기 시흥시 새재로 19, 701호 (장현동,윤성빌딩)",,4139012900,www.du-ri.com
1408111482,(주)삼우티씨씨,"경기 시흥시 공단1대로260번안길 20, 715호 (정왕동,시화공단3다)",,4139013200,www.samwootcc.com
1408111712,(주)문영종합개발,"경기 광명시 오리로 986, 1101호",,4121010100,
1408111798,(주)성연테크,"경기 시흥시 마유로32번길 101 (정왕동, (주)성연테크)",,4139013200,
1408112540,(주)맥스시스템,경기 시흥시 공단1대로28번길 20,,4139013200,
1408112647,(주)디지에스,"경기 안산시 단원구 별망로 36 (성곡동, (주)디지에스)",,4127310400,
1408112652,(주)명성이앤씨,,,4139013200,
1408112744,(주)신명유압,경기 시흥시 엠티브이23로 11,,4139013200,www.shinmyong.co.kr
1408112875,보국엔지니어링(주),,,4127310400,
1408112900,(주)도아테크,경기 시흥시 시화벤처로 246,,4139013200,www.doatech.co.kr
1408113006,(주)지와이텐트,경기 화성시 팔탄면 버들로1362번길 15-20,,4159036031,www.gytent.co.kr
1408113025,제이엔엠코리아(주),경기 화성시 장안면 포승장안로1186번길 31,,4159037024,www.jnmkorea.com
1408113229,(주)한서스틸,경기 안성시 대덕면 모산로 334,,4155035024,www.hanseosteel.co.kr
1408113234,(주)율도,경기 안산시 단원구 번영로94번길 13,,4127310400,
1408113312,(주)티에이메탈,경기 시흥시 서해안로1685번길 41-9,,4139010100,
1408113501,(주)유압사랑,"경기 시흥시 협력로 71, 708호 (정왕동,시화공단1마)",,4139013200,www.hydraulicfriends.com
1408113573,에어코리아(주),경기 여주시 주내로 799-16 (멱곡동),,4167011700,http://www.akgas.co.kr
1408113670,나노인더스(주),경기 김포시 월곶면 고정로 227,,4157035030,
1408113684,오션메탈(주),"경기 광명시 하안로 60, C동 611호",,4121010300,https://oceanstainless.modoo.at
1408113888,(주)에스에스뉴테크,경기 파주시 문산읍 돈유2로 170,,4148025023,www.ssntech.kr
1408113914,(주)미래정보산업,,,4139013200,
1408114081,지에스알코리아(주),"경기 광명시 하안로 60, B동 B109호",,4121010400,www.e-gsr.com
1408114325,(주)피코스텍,경기 안성시 미양면 제4산단2로 24,,4155034038,www.picostech.com
1408114378,(주)씨앤텍,"경기 시흥시 함송로13번길 6-3, 3층",,4139013200,www.newcntec.com
1408114403,(주)포세이돈,,,4139013200,
1408114683,(주)제이티,"경기 안산시 단원구 별망로25번길 24, 701호",,4139013200,www.jtcosmetic.com
1408114757,(주)제이와이써키트,경기 안산시 단원구 산단로83번길 136,,4127310600,www.jycircuit.net
1408115004,(주)에스텍코리아,"경기 안산시 단원구 광덕4로 180, 202호 (고잔동,부원프라자)",,4127310100,stech-k.co.kr
1408115173,(주)우리방재산업,"경기 광명시 안양천로502번길 15, 102호",,4121010200,
1408115381,베타바이오(주),,,4139013200,
1408115528,(주)켐텍스코리아,,,4159033025,
1408115697,(주)인성피앤비,경기 화성시 마도면 마도공단로4길 46-12,,4159033024,
1408115760,(주)신보유통,경기 시흥시 도일로 133,,4139012700,
1408116075,(주)대흥정밀,,,4159036030,www.daeheungeng.co.kr
1408116361,(주)앞선에프엔지,경기 광명시 가학로 200,,4121010700,
1408116376,(주)코아시스템즈,경기 수원시 권선구 산업로156번길 197-17,,4111312800,www.core-systems.co.kr
1408116468,(주)한양에프앤이,"경기 시흥시 공단1대로79번길 7, 707-6호 (정왕동,시화공단1나)",,4139013200,www.hyfilter.com
1408116658,에스엘아이(주),경기 화성시 남양읍 신남로 100,,4159026222,www.soolim.com
1408116959,(주)동양알루미늄,,,4139013200,
1408117297,(주)대아금속,경기 시흥시 공단2대로139번길 14,,4139013200,
1408117661,(주)태영디앤아이,"경기 광명시 신기로 7, 706호",,4121010600,
1408117720,중앙에이텍(주),경기 화성시 팔탄면 버들로1318번길 12-53,,4159036031,
1408117832,(주)피시원,경기 시흥시 수인로3108번길 43,,4139010700,fishone.net
1408117910,현대모터산업(주),경기 시흥시 옥구천동로 120,,4139013200,www.hyundaimotorindustries.com
1408117939,(주)푸드팜,경기 시흥시 미산로 14,,4139010500,
1408118049,(주)파낙스이엠,,,,
1408118296,(주)상륜,"경기 시흥시 엠티브이24로 19 (정왕동, (주)상륜)",,4139013200,
1408118336,(주)대진이엔지,경기 안산시 단원구 엠티브이12로22번길 12,,4127310400,
1408118582,(주)디어스이앤씨,"경기 안양시 동안구 동편로 54-11, 8층",,4139013200,www.deersenc.co.kr
1408118618,(주)평화자원,경기 광명시 오리로494번길 8-1,,4121010400,
1408118767,(주)삼호에프앤비,경기 광명시 도고내로1번길 11,,4121010700,
1408118845,코리아로지스원(주),,,4139013200,
1408118980,(주)네오피엠씨,,,4127310500,www.neopmc.com
1408119053,(주)에스제이하이테크,,,4139010600,
1408119131,(주)대양공업,"경기 시흥시 옥구천서로81번길 4, 421호 (정왕동,시화공단1마)",,4139013200,
1408119316,(주)야코,"경기 시흥시 산기대학로 27, 120호 (정왕동,라성아카데미벤쳐)",,4139013200,
1408119392,(주)태인에프앤씨,경기 안산시 단원구 시화호수로 901,,4127310600,www.tifc.co.kr
1408119413,백광이엔지(주),경기 안산시 단원구 번영로 30,,4127310400,www.baekgwangeng.co.kr
1408119636,(주)태영정공,경기 화성시 향남읍 발안공단로1길 70,,4159025926,
1408119811,동방금속(주),"경기 시흥시 공단2대로 148, 202호",,4139013200,
1408119830,(주)필코아,,,4139013200,
1408119922,(주)제이에스씨밀레,,,4139013200,
1408119960,(주)리더스틸,"경기 안산시 단원구 광덕서로 62, 602호",,4127310100,
1408120400,하림산업개발(주),"경기 광명시 범안로 1008, 601호",,4121010300,
1408120434,(주)모나리자종합유통,경기도 화성시,,4159013600,
1408120486,남해이엔씨(주),경기 김포시 대곶면 대곶서로 283-66 (율생리),,4157034025,www.nam-hae.co.kr
1408120564,이산특수강(주),경기도 시흥시,,4139013200,
1408120827,(주)글로벌로보틱스,경기 안산시 단원구 별망로 12,,4127310400,http://g-robotics.com
1408121020,(주)시화메탈,,,4139013200,
1408121485,(주)오성오토메이션,"경기 안산시 단원구 정왕천동로70번길 12, 4마816호",,4127310400,
1408121530,(주)코링텍,,,4139013200,
1408122067,(주)푸른주유소,경기 안양시 만안구 오리로 11,,4117110300,
1408122145,케이솔(주),경기 화성시 봉담읍 건배길 49,,4159025328,http://ksol.co.kr
1408122219,(주)원컨덕터,,,4139013200,
1408122354,(주)성원스틸,경기 화성시 장안면 장안공단로 215-14,,4159037028,
1408122392,(주)세양메카트로닉스,,,4139013200,
1408122465,(주)엑소,"경기 시흥시 정왕천로 197, A동 313호",,4139013200,www.exxo.co.kr
1408122640,(주)창일테크,"경기 안산시 단원구 신원로 275-23, 반월공단",,4127310400,
1408122709,(주)가가종합철거환경,경기 안산시 단원구 시흥대로 84-6,,4127310900,
1408122728,(주)디에스워터젯,경기 시흥시 공단1대로260번길 64,,4139013200,www.dswaterjet.com
1408123066,(주)소프시스,경기 화성시 남양읍 고향의봄길216번길 60,,4159026222,
1408123071,제이와이테크놀로지(주),,,4141010200,
1408123218,태성비엔에스(주),경기 화성시 남양읍 남양로 429-4,,4159026222,www.taesungbns.com
1408123241,(주)삼정이엔씨,경기도 화성시,,4159013600,
1408123450,에드마(주),"경기 시흥시 공단1대로196번길 29, 509-1호",,4139013200,
1408123479,삼산로지스(주),,,4119210800,
1408123732,(주)케이씨엘,경기 화성시 작현길 72,,4159012500,
1408123858,엠에스월드(주),"경기 고양시 일산동구 장항로 52, 1동 3층",,4128510400,
1408124032,에프이에스(주),"경기 시흥시 산기대학로 330 (정왕동, 동양타워지식산업센터)",511호,4139013200,www.fesind.com
1408124051,(주)한결리싸이클링,경기 시흥시 다지골길 9,,4139010300,
1408124274,(주)미광이앤아이,경기 시흥시 황고개로 281,,4139012800,
1408124478,(주)케이엠엔지니어링,경기 안산시 상록구 용신로 144,,4127110300,www.kmtechs.com
1408124482,(주)일신아이디,,,4121010300,
1408124497,(주)상문,경기 화성시 송산면 송산서로239번길 45-61,,4159034032,www.sangmoon.net
1408124615,(주)범용테크놀러지,경기 시흥시 엠티브이25로20번길 17,,4139013200,www.iheater.net
1408124653,재상전자(주),"경기 시흥시 포도원로116번길 12 (신천동, 익스콘테크노빌)",703호,4139010200,
1408124672,동우씨앤에이(주),경기 시흥시 공단3대로 259,,4139013200,www.dongwoocna.com
1408125026,서남전선(주),경기 평택시 청북읍 현곡길 79-64,,4122025922,
1408125628,(주)우주금속산업,경기 화성시 팔탄면 새터말길 33-3,,4159036025,
1408125647,(주)오일텍,"경기 시흥시 신천로25번길 18 (신천동, (주)오일텍)",,4139010200,http://www.oiltech.kr/
1408125690,포이스(주),"경기 시흥시 공단3대로 185, 1004호",,4139013200,www.foures.co.kr
1408125711,(주)유비스,"경기 안산시 단원구 별망로 453, 514호",,4127310600,
1408125759,(주)가야,경기 화성시 마도면 마도공단로4길 5,,4159033024,Kayabluechip.com
1408126175,(주)대연,경기 안산시 단원구 별망로 703,,4127310700,
1408126307,알에프머트리얼즈(주),"경기 안산시 단원구 강촌로 213, 215호",,4127310600,www.rf-materials.com
1408126379,(주)지이텍,경기 시흥시 오동마을로 41,,4139013200,www.crgetech.co.kr
1408126442,(주)미성가스이엔지,"경기 안산시 단원구 성곡로 176, 가동 304호",,4127310400,www.misunggas.co.kr
1408126476,(주)익성이엔씨,,,4139013200,
1408126549,비에스엠(주),경기 시흥시 소망공원로 145,,4139013200,
1408126840,(주)프로닉스,,,4139010800,
1408127553,주원인터내셔널(주),경기 시흥시 박달로20번길 21-9,,4139012500,www.juwonmc.com
1408127645,에스씨에너지(주),경기 평택시 서동대로 3853,,4122012400,
1408127776,(주)신농한우,경기 광명시 밤일안로 4,,4121010300,www.sinnong1.com
1408127816,(주)성원엘티,경기 시흥시 엠티브이28로 17-6,,4139013200,
1408127854,(주)윤진전자,"경기 광명시 하안로 108, 406호",,4121010400,http://www.yoonjin.co.kr/
1408127999,(주)위드프렌즈,"경기 안양시 만안구 오리로34번길 7-23, 5층",,4117110300,http://hyoam.com
1408128023,(주)떡다움,경기 화성시 장안면 한천1길 56-9 (독정리),,4159037024,www.dkdaum.com
1408128095,(주)유영티엔에스,경기 시흥시 마유로32번길 28,,4139013200,
1408128135,(주)한성아이엠,경기 안산시 단원구 별망로 123,,4127310400,
1408128187,(주)케이엔디시스템,경기 안산시 상록구 장하로 141-20,,4127111500,www.kndsystem.com
1408128284,(주)한국기계유통렌탈,"경기 시흥시 엠티브이북로 43-15, 101동 203호 (정왕동,한국기계유통단지2)",,4139013200,www.gigyero.com
1408128339,(주)서광메탈,경기 화성시 마도면 석교로 26-21,,4159033021,
1408128644,(주)과연미트,"경기 시흥시 금오로265번길 6, 1층",,4139011200,
1408129003,(주)태전,"경기 시흥시 공단1대로 244, 17동 312호 (정왕동,공구상가)",,4139013200,
1408129658,(주)부영엔지니어링,경기 안산시 단원구 엠티브이4로48번길 13,,4127310600,www.booyeoung.com
1408129774,새벽철강산업(주),경기 화성시 송산면 화성로 316-35,,4159034034,
1408129828,(주)하은펄프,경기 시흥시 시흥대로 921,,4139010500,
1408129890,(주)예성철강,"경기 안산시 상록구 광덕산안길 14, 902호 (월피동,베스코아트빌)",,4127110900,
1408129906,에이치원스틸(주),"경기 시흥시 공단2대로190번길 13, 2바401",,4139013200,
1408129997,(주)우석철강,"경기 시흥시 희망공원로 136, 206-4호",,4139013200,
1408130024,경원포장산업(주),경기 화성시 팔탄면 온천로 206-23,,4159036030,
1408130363,(주)창일텍스타일,"경기 시흥시 협력로 28, 501호",,4139013200,
1408130378,(주)성진에스티,"경기 시흥시 오이도로 21, 6동 609호",,4139013200,
1408130460,선일산업(주),"경기 광명시 오리로 649, 8층 807호",,4121010300,
1408130849,(주)이지템,"경기 시흥시 포도원로116번길 25, 304호",,4139010200,www.easytem.co.kr
1408131095,(주)신영소방,"경기 광명시 하안로 60, 제디동 제13층 제디1307호 (소하동,광명테크노파크)",,4121010400,
1408131678,(주)고려원인삼,"경기 시흥시 마유로82번길 119 (정왕동, (주)고려원인삼)",,4139013200,
1408131756,(주)엑스큐시스템,,,4121010500,
1408131800,(주)보림시스템,,,4139013200,
1408131979,은성이앤씨(주),"경기 안산시 단원구 번영로 101, 203-1",,4127310400,
1408132186,(주)대명자원,경기 시흥시 수인로 2981,,4139010700,
1408132264,(주)현양엔지니어링,,,4139013200,
1408132376,(주)세원메디텍,경기 부천시 부천로298번길 33,,4119010400,www.seawonmt.com
1408132380,(주)지엔텍,경기 광명시 사들로68번길 1,,4121010500,http://www.zanca.co.kr/
1408132696,(주)창조종합건축사사무소,,,4139013200,
1408132847,(주)코리아시스템,경기 광명시 금오로794번길 24,,4121010800,www.코리아시스템.kr
1408133055,(주)오알켐,경기 안산시 단원구 시화벤처로 705,,4127310400,www.orchem.com
1408133356,해평산업개발(주),"경기 시흥시 복지로43번길 2, 501호,502호",,4139010100,
1408133360,(주)에이피테크,"경기 시흥시 경제로 281, 728호",,4139013200,http://aptec21.com
1408133429,(주)유니콘시스템,"경기 안산시 단원구 강촌로139번길 72, 반월공단",,4127310400,www.uniconvalve.com
1408133545,지이엔(주),,,4139013200,www.gen.co.kr
1408133787,(주)최신이피피이피에스,"경기 안산시 단원구 산단로20번길 92, 반월공단",,4127310700,www.epschem.co.kr
1408133924,(주)우진이엠티,,,4127310400,
1408134073,(주)원일유통,경기 시흥시 동서로 865-43,,4139012200,www.woniltuna.com/
1408134127,(주)대호스토퍼,경기 안산시 단원구 신원로 241,,4127310400,www.hottap.kr
1408134199,(주)티에스이,"경기 화성시 남양읍 신남로 367, 3동 2층",,4159026222,tsev.co.kr
1408134641,엠디바이스(주),경기 안산시 단원구 목내로 114,,4127310600,http://mdevice.co.kr
1408134729,(주)에스지이에너지,경기 화성시 장안면 무봉길 166-77,,4159037022,www.sgeenergy.com
1408134923,(주)케이지엠,경기 안산시 단원구 신원로133번길 10,,4127310400,www.kgm.co.kr
1408134976,(주)디아이비앤피,경기 시흥시 마유로118번길 19,,4139013200,
1408135126,㈜씨에이텍,,,4127310400,
1408135349,(주)한도금속,"경기 시흥시 경기과기대로 187, 가동, 나동",,4139013200,www.2002hd.com
1408135543,(주)훼밀리팜,경기 시흥시 새우개2길 10-10,,4139010400,www.family-pharm.co.kr
1408135636,(주)유지인트중부판매,"경기 시흥시 소망공원로 334, 106호",,4139013200,
1408135733,(주)선우씨앤에스,"경기 광명시 신기로17번길 6, 205호",,4121010600,
1408136182,(주)나래이엔씨,,,4143011100,www.nrenc.co.kr
1408136367,(주)태인피드,"경기 시흥시 대은로 62, 308동 1203호",,4139010600,
1408136576,신보스틸(주),"경기 시흥시 오이도로 21, 17동 1744호, 1743호 (정왕동,씨랜드철재상가)",,4139013200,
1408136580,(주)허성준의맛이야기,"경기 광명시 원노온사로 14, 101호",,4121010500,
1408136862,(주)이지테크,"경기 광명시 하안로 60, A동 501호",,4121010300,
1408137240,(주)한성스틸,"경기 시흥시 경제로 328, 402호",,4139013200,
1408137347,(주)동화수산,경기 시흥시 매화로116번길 18,,4139010900,www.donghwa1.co.kr
1408137459,(주)정현이엔지,"경기 화성시 비봉면 현대기아로 825-4, 2동 2층",,4159032021,www.jh-eng.co.kr
