BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
0100052228,육군제3수송교육연대,경기 가평군 가평읍 송정길 17-94 (마장리),,4182025029,
0100052484,가평군장애인체육회,"경기 가평군 가평읍 문화로 131 (대곡리, 가평종합운동장, 가평군복지재단)",,4182025022,https://www.gpsports.or.kr/kpc/main
0146546544,성빈센트환경마을," (신하리, 성빈센트환경마을)",,4182034525,http://www.vincentvillage.co.kr/
0154549874,가평설악청소년문화의집,"경기 가평군 설악면 자잠로 65 (신천리, 가평설악도서관)",,4182031021,
0200000001,고양시농업기술센터,"경기 고양시 덕양구 고양대로 1695 (원흥동, 고양시 농업기술센터)",,4128110400,
0200000002,일산동구보건소,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",,4128510500,
0200000003,고양여성인력개발센터,"경기 고양시 일산서구 강성로 247 (대화동, 명진프라자빌딩)","8,9층",4128710400,
0200000004,고양시 일산동구청,"경기 고양시 일산동구 중앙로 1256 (마두동, 일산동구청)",,4128510500,
0200000005,고양시다문화가족지원센터,경기 고양시 일산동구 대산로 27 (정발산동),4층,4128510300,
0200000006,고양시장애인체육회,"경기 고양시 일산서구 중앙로 1601 (대화동, 고양종합운동장)",,4128710400,
0200000007,고양시체육회,"경기 고양시 일산서구 중앙로 1601 (대화동, 고양종합운동장)",,4128710400,
0200000008,고양연구원,"경기 고양시 일산동구 태극로 60 (장항동, 디지털방송콘텐츠지원센터)",11층,4128510400,
0200000009,고양시청소년재단,"경기 고양시 덕양구 중앙로633번길 25 (토당동, 고양시청소년수련관)",2층,4128112000,
0200000010,고양시건강가정지원센터,"경기 고양시 덕양구 고양대로1369번길 44-7 (성사동, 건강가정지원센터,드림스타트)",,4128110600,
0200000011,고양소방서,"경기 고양시 덕양구 고양대로 1342 (성사동, 고양소방서)",,4128110600,
